species	feature_gadolinium_contrast	P.val_individual_gadolinium_contrast	coef_gadolinium_contrast	model_gadolinium_contrast	feature_lesion_burden	P.val_individual_lesion_burden	coef_lesion_burden	model_lesion_burden	feature_spinal_cord_lesion	P.val_individual_spinal_cord_lesion	coef_spinal_cord_lesion	model_spinal_cord_lesion	feature_subtentorial_lesions	P.val_individual_subtentorial_lesions	coef_subtentorial_lesions	model_subtentorial_lesions
Bacteroides_humanifaecis_abundance	Bacteroides_humanifaecis	0.76112837371371	-0.0114104820141635	abundance	Bacteroides_humanifaecis	0.333620435917547	0.811968006066485	abundance	Bacteroides_humanifaecis	0.624583154236187	0.295152209835369	abundance	Bacteroides_humanifaecis	0.0349673735265008	1.73026876865131	abundance
Bacteroides_humanifaecis_prevalence	Bacteroides_humanifaecis	0.410057735091051	0.838916706290138	prevalence	Bacteroides_humanifaecis	0.420681254052579	0.660391473115174	prevalence	Bacteroides_humanifaecis	0.854945454670213	-0.137342223205293	prevalence	Bacteroides_humanifaecis	0.958639461779124	0.039585770457796	prevalence
Bacteroides_intestinalis_abundance	Bacteroides_intestinalis	0.664091149994366	-0.96896777447162	abundance	Bacteroides_intestinalis	0.176168497161476	-1.99236776372271	abundance	Bacteroides_intestinalis	0.269684966579728	1.32011728635744	abundance	Bacteroides_intestinalis	0.468222420149934	-1.11732896424806	abundance
Bacteroides_intestinalis_prevalence	Bacteroides_intestinalis	0.80522043595755	-0.21940567011157	prevalence	Bacteroides_intestinalis	0.50548093851623	-0.560423635154043	prevalence	Bacteroides_intestinalis	0.253625288092886	-0.92720556403234	prevalence	Bacteroides_intestinalis	0.351418424704858	0.770139534445754	prevalence
Bacteroides_nordii_abundance	Bacteroides_nordii	0.675832684982531	0.238002225415124	abundance	Bacteroides_nordii	0.612418025175572	-0.63065163456765	abundance	Bacteroides_nordii	0.548378940275435	-0.802389973991835	abundance	Bacteroides_nordii	0.983021299313508	-0.157551541939606	abundance
Bacteroides_nordii_prevalence	Bacteroides_nordii	0.937247924932215	-0.0692619184356442	prevalence	Bacteroides_nordii	0.921739795288541	-0.0798919351106527	prevalence	Bacteroides_nordii	0.843517913629149	0.147672206753409	prevalence	Bacteroides_nordii	0.428694738114917	-0.611851534838329	prevalence
Bacteroides_ovatus_abundance	Bacteroides_ovatus	0.459939224755152	-0.935341262336857	abundance	Bacteroides_ovatus	0.0122654039726884	-1.95609705836012	abundance	Bacteroides_ovatus	0.200771458283745	-1.04554659857665	abundance	Bacteroides_ovatus	0.712171581721751	-0.408167645006798	abundance
Bacteroides_ovatus_prevalence	Bacteroides_ovatus	0.860762387704042	0.288214199135114	prevalence	Bacteroides_ovatus	0.460573589584209	1.0071380122442	prevalence	Bacteroides_ovatus	0.76071287496758	-0.395422016635198	prevalence	Bacteroides_ovatus	0.667000719298511	0.56991621671244	prevalence
Bacteroides_salyersiae_abundance	Bacteroides_salyersiae	0.654591568208838	-0.844212333956153	abundance	Bacteroides_salyersiae	0.582562068677848	-0.679082664362202	abundance	Bacteroides_salyersiae	0.310937705102075	-1.17735222729267	abundance	Bacteroides_salyersiae	0.662192789018877	-0.597224044944735	abundance
Bacteroides_salyersiae_prevalence	Bacteroides_salyersiae	0.578324784624169	0.857446852249805	prevalence	Bacteroides_salyersiae	0.956966221842646	0.058568315302133	prevalence	Bacteroides_salyersiae	0.619901642535421	-0.518752655121456	prevalence	Bacteroides_salyersiae	0.246008492680649	1.51071097565828	prevalence
Bacteroides_sp. A1C1_abundance	Bacteroides_sp. A1C1	0.173777353052388	-1.35382669691888	abundance	Bacteroides_sp. A1C1	0.187381058720547	-0.990973335346928	abundance	Bacteroides_sp. A1C1	0.427343926056048	-0.657240232782318	abundance	Bacteroides_sp. A1C1	0.382239212776339	0.477393065772021	abundance
Bacteroides_sp. A1C1_prevalence	Bacteroides_sp. A1C1	0.87573280243484	0.16599861140788	prevalence	Bacteroides_sp. A1C1	0.627556948711104	0.452483922202306	prevalence	Bacteroides_sp. A1C1	0.727328363715624	-0.297655284984555	prevalence	Bacteroides_sp. A1C1	0.8141410447622	0.207054358923978	prevalence
Bacteroides_sp. CACC 737_abundance	Bacteroides_sp. CACC 737	0.804714332800125	-0.573046155377673	abundance	Bacteroides_sp. CACC 737	0.598107343008142	-0.570086341496506	abundance	Bacteroides_sp. CACC 737	0.00885670592327914	-2.36228847797814	abundance	Bacteroides_sp. CACC 737	0.869890284126951	0.0198546771590943	abundance
Bacteroides_sp. CACC 737_prevalence	Bacteroides_sp. CACC 737	0.474972213756762	-0.68768269640032	prevalence	Bacteroides_sp. CACC 737	0.115713766206666	-1.86140699300814	prevalence	Bacteroides_sp. CACC 737	0.440930205480206	-0.704002380198419	prevalence	Bacteroides_sp. CACC 737	0.377710002249917	-0.810621746370311	prevalence
Bacteroides_sp. D2_abundance	Bacteroides_sp. D2	0.346771285501529	0.790471984663777	abundance	Bacteroides_sp. D2	0.0428886098192571	-1.85089708414714	abundance	Bacteroides_sp. D2	0.263233297061268	-1.07295335328374	abundance	Bacteroides_sp. D2	0.20935906442092	-1.22505726973965	abundance
Bacteroides_sp. D2_prevalence	Bacteroides_sp. D2	0.349232134362913	-0.794118073718121	prevalence	Bacteroides_sp. D2	0.389153495842095	-0.725413467336275	prevalence	Bacteroides_sp. D2	0.320572387667491	-0.783655276818396	prevalence	Bacteroides_sp. D2	0.174996288753866	-1.08279856544876	prevalence
Bacteroides_sp. DH3716P_abundance	Bacteroides_sp. DH3716P	0.741816659365758	-0.0542981368950427	abundance	Bacteroides_sp. DH3716P	0.601587600071626	-0.399327351695823	abundance	Bacteroides_sp. DH3716P	0.834414356327957	-0.250141363424488	abundance	Bacteroides_sp. DH3716P	0.531320251811481	0.295658005521743	abundance
